Comunidad,Año,Mes,Numero Paradas
Islas Baleares,2007,Marzo,39855
Canarias,2007,Marzo,130648
Cantabria,2007,Marzo,21871
Aragón,2007,Marzo,36275
Comunidad Foral de Navarra,2007,Marzo,21611
Galicia,2007,Marzo,159886
Melilla,2007,Marzo,7668
Región de Murcia,2007,Marzo,45112
Andalucía,2007,Marzo,486934
La Rioja,2007,Marzo,10318
País Vasco,2007,Marzo,80157
Comunidad Valenciana,2007,Marzo,198345
Ceuta,2007,Marzo,7046
Cataluña,2007,Marzo,254720
Castilla-La Mancha,2007,Marzo,94166
Extremadura,2007,Mayo,73373
Principado de Asturias,2007,Mayo,48288
Castilla y León,2007,Mayo,107008
Comunidad de Madrid,2007,Mayo,218126
Islas Baleares,2007,Mayo,28245
Canarias,2007,Mayo,135268
Cantabria,2007,Mayo,19982
Aragón,2007,Mayo,34311
Comunidad Foral de Navarra,2007,Mayo,18845
Galicia,2007,Mayo,148209
Melilla,2007,Mayo,7374
Región de Murcia,2007,Mayo,42981
Andalucía,2007,Mayo,473876
La Rioja,2007,Mayo,9491
País Vasco,2007,Mayo,72900
Comunidad Valenciana,2007,Mayo,193447
Ceuta,2007,Mayo,6703
Cataluña,2007,Mayo,244813
Castilla-La Mancha,2007,Mayo,89991
Extremadura,2007,Noviembre,75239
Principado de Asturias,2007,Noviembre,50146
Castilla y León,2007,Noviembre,104762
Comunidad de Madrid,2007,Noviembre,227629
Islas Baleares,2007,Noviembre,48119
Canarias,2007,Noviembre,138813
Cantabria,2007,Noviembre,20702
Aragón,2007,Noviembre,37371
Comunidad Foral de Navarra,2007,Noviembre,20768
Galicia,2007,Noviembre,152728
Melilla,2007,Noviembre,6539
Región de Murcia,2007,Noviembre,49895
Andalucía,2007,Noviembre,508654
La Rioja,2007,Noviembre,10356
País Vasco,2007,Noviembre,74432
Comunidad Valenciana,2007,Noviembre,209099
Ceuta,2007,Noviembre,6888
Cataluña,2007,Noviembre,259170
Castilla-La Mancha,2007,Noviembre,93163
Extremadura,2007,Octubre,74678
Principado de Asturias,2007,Octubre,49133
Castilla y León,2007,Octubre,104088
Comunidad de Madrid,2007,Octubre,225543
