Comunidades y Ciudades Autónomas;General. vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Canarias;Vivienda nueva;Variación trimestral;2017T2;0.4
Canarias;Vivienda nueva;Variación trimestral;2017T1;3.3
Canarias;Vivienda nueva;Variación trimestral;2016T4;-0.3
Canarias;Vivienda nueva;Variación trimestral;2016T3;-1.3
Canarias;Vivienda nueva;Variación trimestral;2016T2;2.5
Canarias;Vivienda nueva;Variación trimestral;2016T1;4.4
Canarias;Vivienda nueva;Variación trimestral;2015T4;1.6
Canarias;Vivienda nueva;Variación trimestral;2015T3;-1.5
Canarias;Vivienda nueva;Variación trimestral;2015T2;3.4
Canarias;Vivienda nueva;Variación trimestral;2015T1;3.1
Canarias;Vivienda nueva;Variación trimestral;2014T4;-0.9
Canarias;Vivienda nueva;Variación trimestral;2014T3;0.1
Canarias;Vivienda nueva;Variación trimestral;2014T2;2.5
Canarias;Vivienda nueva;Variación trimestral;2014T1;-1.0
Canarias;Vivienda nueva;Variación trimestral;2013T4;0.0
Canarias;Vivienda nueva;Variación trimestral;2013T3;0.6
Canarias;Vivienda nueva;Variación trimestral;2013T2;-4.5
Canarias;Vivienda nueva;Variación trimestral;2013T1;-4.7
Canarias;Vivienda nueva;Variación trimestral;2012T4;0.2
Canarias;Vivienda nueva;Variación trimestral;2012T3;-3.5
Canarias;Vivienda nueva;Variación trimestral;2012T2;-5.2
Canarias;Vivienda nueva;Variación trimestral;2012T1;-3.9
Canarias;Vivienda nueva;Variación trimestral;2011T4;-2.4
Canarias;Vivienda nueva;Variación trimestral;2011T3;-2.9
Canarias;Vivienda nueva;Variación trimestral;2011T2;-0.6
Canarias;Vivienda nueva;Variación trimestral;2011T1;-0.1
Canarias;Vivienda nueva;Variación trimestral;2010T4;-2.4
Canarias;Vivienda nueva;Variación trimestral;2010T3;-1.4
Canarias;Vivienda nueva;Variación trimestral;2010T2;1.5
Canarias;Vivienda nueva;Variación trimestral;2010T1;-2.0
Canarias;Vivienda nueva;Variación trimestral;2009T4;-0.8
Canarias;Vivienda nueva;Variación trimestral;2009T3;-0.2
Canarias;Vivienda nueva;Variación trimestral;2009T2;-0.5
Canarias;Vivienda nueva;Variación trimestral;2009T1;-0.9
Canarias;Vivienda nueva;Variación trimestral;2008T4;-0.1
Canarias;Vivienda nueva;Variación trimestral;2008T3;1.4
Canarias;Vivienda nueva;Variación trimestral;2008T2;0.5
Canarias;Vivienda nueva;Variación trimestral;2008T1;1.0
Canarias;Vivienda nueva;Variación trimestral;2007T4;3.2
Canarias;Vivienda nueva;Variación trimestral;2007T3;2.8
Canarias;Vivienda nueva;Variación trimestral;2007T2;2.8
Canarias;Vivienda nueva;Variación trimestral;2007T1;2.6
Canarias;Vivienda nueva;Variación anual;2019T4;2.1
Canarias;Vivienda nueva;Variación anual;2019T3;4.9
Canarias;Vivienda nueva;Variación anual;2019T2;5.4
Canarias;Vivienda nueva;Variación anual;2019T1;8.8
Canarias;Vivienda nueva;Variación anual;2018T4;5.9
Canarias;Vivienda nueva;Variación anual;2018T3;4.6
Canarias;Vivienda nueva;Variación anual;2018T2;4.2
Canarias;Vivienda nueva;Variación anual;2018T1;3.5
Canarias;Vivienda nueva;Variación anual;2017T4;6.6
Canarias;Vivienda nueva;Variación anual;2017T3;4.0
Canarias;Vivienda nueva;Variación anual;2017T2;2.0
Canarias;Vivienda nueva;Variación anual;2017T1;4.1
Canarias;Vivienda nueva;Variación anual;2016T4;5.3
Canarias;Vivienda nueva;Variación anual;2016T3;7.4
Canarias;Vivienda nueva;Variación anual;2016T2;7.3
Canarias;Vivienda nueva;Variación anual;2016T1;8.1
Canarias;Vivienda nueva;Variación anual;2015T4;6.7
Canarias;Vivienda nueva;Variación anual;2015T3;4.1
Canarias;Vivienda nueva;Variación anual;2015T2;5.7
Canarias;Vivienda nueva;Variación anual;2015T1;4.8
Canarias;Vivienda nueva;Variación anual;2014T4;0.6
Canarias;Vivienda nueva;Variación anual;2014T3;1.6
Canarias;Vivienda nueva;Variación anual;2014T2;2.1
Canarias;Vivienda nueva;Variación anual;2014T1;-4.9
Canarias;Vivienda nueva;Variación anual;2013T4;-8.4
Canarias;Vivienda nueva;Variación anual;2013T3;-8.2
Canarias;Vivienda nueva;Variación anual;2013T2;-12.0
Canarias;Vivienda nueva;Variación anual;2013T1;-12.6
Canarias;Vivienda nueva;Variación anual;2012T4;-11.9
Canarias;Vivienda nueva;Variación anual;2012T3;-14.2
Canarias;Vivienda nueva;Variación anual;2012T2;-13.6
Canarias;Vivienda nueva;Variación anual;2012T1;-9.5
Canarias;Vivienda nueva;Variación anual;2011T4;-5.9
Canarias;Vivienda nueva;Variación anual;2011T3;-5.8
Canarias;Vivienda nueva;Variación anual;2011T2;-4.4
Canarias;Vivienda nueva;Variación anual;2011T1;-2.4
Canarias;Vivienda nueva;Variación anual;2010T4;-4.2
Canarias;Vivienda nueva;Variación anual;2010T3;-2.7
