TERRITORIO;TIPOLOGÍA PENAL;a_2013;a_2014;Var_porc_14s13
Municipio de Granada;3.-DELINCUENCIA VIOLENTA (EU);328;211;-35,7
Municipio de Granada;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);296;180;-39,2
Municipio de Granada;4.-ROBOS CON FUERZA;633;409;-35,4
Municipio de Granada;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);102;138;35,3
Municipio de Granada;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);140;102;-27,1
Municipio de Granada;6.-TRÁFICO DE DROGAS (EU);20;26;30
Municipio de Granada;7.-DAÑOS;394;331;-16
Municipio de Granada;8.-HURTOS;1834;1402;-23,6
Municipio de Motril;1.-DELITOS Y FALTAS (EU);739;600;-18,8
Municipio de Motril;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Motril;3.-DELINCUENCIA VIOLENTA (EU);24;20;-16,7
Municipio de Motril;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);20;14;-30
Municipio de Motril;4.-ROBOS CON FUERZA;134;133;-0,7
Municipio de Motril;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);49;56;14,3
Municipio de Motril;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);12;10;-16,7
Municipio de Motril;6.-TRÁFICO DE DROGAS (EU);7;9;28,6
Municipio de Motril;7.-DAÑOS;89;87;-2,2
Municipio de Motril;8.-HURTOS;190;136;-28,4
Provincia de Huelva;1.-DELITOS Y FALTAS (EU);5590;5264;-5,8
Provincia de Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Provincia de Huelva;3.-DELINCUENCIA VIOLENTA (EU);138;162;17,4
Provincia de Huelva;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);90;100;11,1
Provincia de Huelva;4.-ROBOS CON FUERZA;1279;1205;-5,8
Provincia de Huelva;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);529;483;-8,7
Provincia de Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);86;91;5,8
Provincia de Huelva;6.-TRÁFICO DE DROGAS (EU);26;33;26,9
Provincia de Huelva;7.-DAÑOS;462;368;-20,3
Provincia de Huelva;8.-HURTOS;1787;1580;-11,6
Municipio de Huelva;1.-DELITOS Y FALTAS (EU);2291;1996;-12,9
Municipio de Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Huelva;3.-DELINCUENCIA VIOLENTA (EU);86;84;-2,3
Municipio de Huelva;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);71;64;-9,9
Municipio de Huelva;4.-ROBOS CON FUERZA;288;221;-23,3
Municipio de Huelva;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);46;35;-23,9
Municipio de Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);17;22;29,4
Municipio de Huelva;6.-TRÁFICO DE DROGAS (EU);17;13;-23,5
Municipio de Huelva;7.-DAÑOS;283;171;-39,6
Municipio de Huelva;8.-HURTOS;1024;874;-14,6
Provincia de Jaén;1.-DELITOS Y FALTAS (EU);4657;4441;-4,6
Provincia de Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;3;50
Provincia de Jaén;3.-DELINCUENCIA VIOLENTA (EU);204;156;-23,5
Provincia de Jaén;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);173;114;-34,1
Provincia de Jaén;4.-ROBOS CON FUERZA;827;749;-9,4
Provincia de Jaén;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);181;206;13,8
Provincia de Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);86;62;-27,9
Provincia de Jaén;6.-TRÁFICO DE DROGAS (EU);26;17;-34,6
Provincia de Jaén;7.-DAÑOS;561;519;-7,5
Provincia de Jaén;8.-HURTOS;1374;1292;-6
Municipio de Jaén;1.-DELITOS Y FALTAS (EU);1454;1269;-12,7
Municipio de Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Jaén;3.-DELINCUENCIA VIOLENTA (EU);112;65;-42
Municipio de Jaén;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);103;61;-40,8
Municipio de Jaén;4.-ROBOS CON FUERZA;205;201;-2
Municipio de Jaén;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);43;33;-23,3
Municipio de Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);32;29;-9,4
Municipio de Jaén;6.-TRÁFICO DE DROGAS (EU);4;3;-25
Municipio de Jaén;7.-DAÑOS;179;160;-10,6
Municipio de Jaén;8.-HURTOS;507;402;-20,7
Municipio de Linares;1.-DELITOS Y FALTAS (EU);567;527;-7,1
Municipio de Linares;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Linares;3.-DELINCUENCIA VIOLENTA (EU);35;22;-37,1
Municipio de Linares;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);30;17;-43,3
Municipio de Linares;4.-ROBOS CON FUERZA;93;71;-23,7
Municipio de Linares;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);17;20;17,6
Municipio de Linares;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);13;6;-53,8
Municipio de Linares;6.-TRÁFICO DE DROGAS (EU);3;6;100
Municipio de Linares;7.-DAÑOS;74;67;-9,5
Municipio de Linares;8.-HURTOS;180;198;10
Provincia de Málaga;1.-DELITOS Y FALTAS (EU);20857;18500;-11,3
Provincia de Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;3;0
Provincia de Málaga;3.-DELINCUENCIA VIOLENTA (EU);733;584;-20,3
Provincia de Málaga;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);517;430;-16,8
Provincia de Málaga;4.-ROBOS CON FUERZA;3491;2905;-16,8
Provincia de Málaga;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1348;1028;-23,7
Provincia de Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);613;560;-8,6
Provincia de Málaga;6.-TRÁFICO DE DROGAS (EU);165;195;18,2
Provincia de Málaga;7.-DAÑOS;2212;1814;-18
Provincia de Málaga;8.-HURTOS;7475;6518;-12,8
Municipio de Benalmádena;1.-DELITOS Y FALTAS (EU);1083;1052;-2,9
Municipio de Benalmádena;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Municipio de Benalmádena;3.-DELINCUENCIA VIOLENTA (EU);41;27;-34,1
Municipio de Benalmádena;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);29;21;-27,6
Municipio de Benalmádena;4.-ROBOS CON FUERZA;146;123;-15,8
Municipio de Benalmádena;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);70;55;-21,4
Municipio de Benalmádena;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);21;20;-4,8
Municipio de Benalmádena;6.-TRÁFICO DE DROGAS (EU);11;3;-72,7
Municipio de Benalmádena;7.-DAÑOS;154;142;-7,8
Municipio de Benalmádena;8.-HURTOS;393;367;-6,6
Municipio de Estepona;1.-DELITOS Y FALTAS (EU);800;817;2,1
Municipio de Estepona;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
Municipio de Estepona;3.-DELINCUENCIA VIOLENTA (EU);17;17;0
Municipio de Estepona;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);8;10;25
Municipio de Estepona;4.-ROBOS CON FUERZA;144;198;37,5
Municipio de Estepona;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);61;84;37,7
Municipio de Estepona;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);23;36;56,5
Municipio de Estepona;6.-TRÁFICO DE DROGAS (EU);9;16;77,8
Municipio de Estepona;7.-DAÑOS;123;112;-8,9
Municipio de Estepona;8.-HURTOS;230;233;1,3
