TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
Municipio de Málaga;1.-DELITOS Y FALTAS (EU);12625;12128;-3,9
Municipio de Málaga;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100,0
Municipio de Málaga;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);270;349;29,3
Municipio de Málaga;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);294;287;-2,4
Municipio de Málaga;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);435;356;-18,2
Municipio de Málaga;6.-TRÁFICO DE DROGAS (EU);145;133;-8,3
Municipio de Málaga;7.-DAÑOS;866;886;2,3
Municipio de Málaga;8.-HURTOS;5442;5392;-0,9
Municipio de Marbella;1.-DELITOS Y FALTAS (EU);5066;5749;13,5
Municipio de Marbella;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;0;-100,0
Municipio de Marbella;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);109;102;-6,4
Municipio de Marbella;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);241;291;20,7
Municipio de Marbella;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);182;226;24,2
Municipio de Marbella;6.-TRÁFICO DE DROGAS (EU);49;34;-30,6
Municipio de Marbella;7.-DAÑOS;448;626;39,7
Municipio de Marbella;8.-HURTOS;1792;2052;14,5
Municipio de Mijas;1.-DELITOS Y FALTAS (EU);2551;2329;-8,7
Municipio de Mijas;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Mijas;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);32;25;-21,9
Municipio de Mijas;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);255;216;-15,3
Municipio de Mijas;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);129;109;-15,5
Municipio de Mijas;6.-TRÁFICO DE DROGAS (EU);19;24;26,3
Municipio de Mijas;7.-DAÑOS;290;280;-3,4
Municipio de Mijas;8.-HURTOS;685;678;-1,0
