TERRITORIO;TIPOLOGÕA PENAL;a_2012;a_2013;Var_porc_13s12
C†ceres;6.-TRµFICO DE DROGAS (EU);93;110;18,3
C†ceres;7.-DA•OS;1184;1037;-12,4
C†ceres;8.-HURTOS;2859;2892;1,2
C†diz;1.-DELITOS Y FALTAS (EU);59863;56619;-5,4
C†diz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;8;0,0
C†diz;3.-DELINCUENCIA VIOLENTA (EU);1663;1749;5,2
C†diz;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1121;1140;1,7
C†diz;4.-ROBOS CON FUERZA;9074;8389;-7,5
C†diz;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3029;3077;1,6
C†diz;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);1963;1516;-22,8
C†diz;6.-TRµFICO DE DROGAS (EU);1241;1021;-17,7
C†diz;7.-DA•OS;6638;6127;-7,7
C†diz;8.-HURTOS;19687;18840;-4,3
CANARIAS;1.-DELITOS Y FALTAS (EU);97973;93341;-4,7
CANARIAS;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);15;13;-13,3
CANARIAS;3.-DELINCUENCIA VIOLENTA (EU);3248;3027;-6,8
CANARIAS;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);2011;1818;-9,6
CANARIAS;4.-ROBOS CON FUERZA;14956;13661;-8,7
CANARIAS;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);4294;4001;-6,8
CANARIAS;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);2168;1893;-12,7
CANARIAS;6.-TRµFICO DE DROGAS (EU);614;615;0,2
CANARIAS;7.-DA•OS;8721;8060;-7,6
CANARIAS;8.-HURTOS;32454;32519;0,2
CANTABRIA;1.-DELITOS Y FALTAS (EU);18297;17239;-5,8
CANTABRIA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;4;300,0
CANTABRIA;3.-DELINCUENCIA VIOLENTA (EU);731;656;-10,3
CANTABRIA;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);419;371;-11,5
CANTABRIA;4.-ROBOS CON FUERZA;2859;2432;-14,9
CANTABRIA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1004;905;-9,9
CANTABRIA;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);344;264;-23,3
CANTABRIA;6.-TRµFICO DE DROGAS (EU);103;92;-10,7
CANTABRIA;7.-DA•OS;1935;1672;-13,6
CANTABRIA;8.-HURTOS;6011;5940;-1,2
Castell¢n/Castell¢;1.-DELITOS Y FALTAS (EU);28908;27956;-3,3
Castell¢n/Castell¢;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;5;66,7
Castell¢n/Castell¢;3.-DELINCUENCIA VIOLENTA (EU);973;933;-4,1
Castell¢n/Castell¢;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);721;680;-5,7
Castell¢n/Castell¢;4.-ROBOS CON FUERZA;7482;7211;-3,6
Castell¢n/Castell¢;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3029;3112;2,7
Castell¢n/Castell¢;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);519;430;-17,1
Castell¢n/Castell¢;6.-TRµFICO DE DROGAS (EU);120;156;30,0
Castell¢n/Castell¢;7.-DA•OS;3658;3437;-6,0
Castell¢n/Castell¢;8.-HURTOS;8877;8399;-5,4
CASTILLA - LA MANCHA;1.-DELITOS Y FALTAS (EU);74403;73463;-1,3
CASTILLA - LA MANCHA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);17;15;-11,8
CASTILLA - LA MANCHA;3.-DELINCUENCIA VIOLENTA (EU);2099;2053;-2,2
CASTILLA - LA MANCHA;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1419;1388;-2,2
CASTILLA - LA MANCHA;4.-ROBOS CON FUERZA;18255;18593;1,9
CASTILLA - LA MANCHA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);6711;7025;4,7
CASTILLA - LA MANCHA;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);1450;1261;-13,0
CASTILLA - LA MANCHA;6.-TRµFICO DE DROGAS (EU);418;482;15,3
CASTILLA - LA MANCHA;7.-DA•OS;8840;8434;-4,6
CASTILLA - LA MANCHA;8.-HURTOS;18808;18960;0,8
CASTILLA Y LE‡N;1.-DELITOS Y FALTAS (EU);84400;79904;-5,3
CASTILLA Y LE‡N;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);15;19;26,7
CASTILLA Y LE‡N;3.-DELINCUENCIA VIOLENTA (EU);1991;1778;-10,7
CASTILLA Y LE‡N;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);1199;1121;-6,5
CASTILLA Y LE‡N;4.-ROBOS CON FUERZA;13456;12317;-8,5
CASTILLA Y LE‡N;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3940;3818;-3,1
CASTILLA Y LE‡N;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);976;790;-19,1
CASTILLA Y LE‡N;6.-TRµFICO DE DROGAS (EU);364;380;4,4
CASTILLA Y LE‡N;7.-DA•OS;11887;10914;-8,2
CASTILLA Y LE‡N;8.-HURTOS;28694;28107;-2,0
CATALU•A;1.-DELITOS Y FALTAS (EU);453156;431914;-4,7
CATALU•A;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);74;43;-41,9
CATALU•A;3.-DELINCUENCIA VIOLENTA (EU);35768;32581;-8,9
CATALU•A;3.1.-ROBO CON VIOLENCIA E INTIMIDACI‡N (EU);31792;28950;-8,9
CATALU•A;4.-ROBOS CON FUERZA;83150;78187;-6,0
CATALU•A;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);23319;23572;1,1
CATALU•A;5.-SUSTRACCI‡N VEH÷CULOS A MOTOR (EU);11227;10426;-7,1
CATALU•A;6.-TRµFICO DE DROGAS (EU);2074;2064;-0,5
CATALU•A;7.-DA•OS;40860;39097;-4,3
CATALU•A;8.-HURTOS;177583;166537;-6,2
CIUDAD AUT‡NOMA DE CEUTA;1.-DELITOS Y FALTAS (EU);7052;5850;-17,0
CIUDAD AUT‡NOMA DE CEUTA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;2;100,0
CIUDAD AUT‡NOMA DE CEUTA;3.-DELINCUENCIA VIOLENTA (EU);208;264;26,9
