TERRITORIO;TIPOLOGÍA PENAL;2014;2015;Var. % 15/14
Municipio de Motril;6.-TRÁFICO DE DROGAS (EU);48;38;-20,8
Municipio de Motril;7.-DAÑOS;337;298;-11,6
Municipio de Motril;8.-HURTOS;683;696;1,9
Provincia de Huelva;1.-DELITOS Y FALTAS (EU);21021;19435;-7,5
Provincia de Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);5;3;-40,0
Provincia de Huelva;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);365;338;-7,4
Provincia de Huelva;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1550;1599;3,2
Provincia de Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);343;359;4,7
Provincia de Huelva;6.-TRÁFICO DE DROGAS (EU);156;136;-12,8
Provincia de Huelva;7.-DAÑOS;1340;1545;15,3
Provincia de Huelva;8.-HURTOS;6370;5602;-12,1
Municipio de Huelva;1.-DELITOS Y FALTAS (EU);8260;7265;-12,0
Municipio de Huelva;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100,0
Municipio de Huelva;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);227;160;-29,5
Municipio de Huelva;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);174;161;-7,5
Municipio de Huelva;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);79;113;43,0
Municipio de Huelva;6.-TRÁFICO DE DROGAS (EU);45;41;-8,9
Municipio de Huelva;7.-DAÑOS;667;728;9,1
Municipio de Huelva;8.-HURTOS;3275;2895;-11,6
Provincia de Jaén;1.-DELITOS Y FALTAS (EU);17856;17020;-4,7
Provincia de Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;4;33,3
Provincia de Jaén;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);405;359;-11,4
Provincia de Jaén;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);822;946;15,1
Provincia de Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);314;362;15,3
Provincia de Jaén;6.-TRÁFICO DE DROGAS (EU);96;76;-20,8
Provincia de Jaén;7.-DAÑOS;2001;2096;4,7
Provincia de Jaén;8.-HURTOS;4970;4641;-6,6
Municipio de Jaén;1.-DELITOS Y FALTAS (EU);5062;4814;-4,9
Municipio de Jaén;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Jaén;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);209;195;-6,7
Municipio de Jaén;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);164;206;25,6
Municipio de Jaén;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);148;182;23,0
