TERRITORIO;TIPOLOGÍA PENAL;2012_ene_jun;2013_ene_jun;var_porc_13s12
CANTABRIA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);174;133;-23,6
CANTABRIA;6.-TRÁFICO DE DROGAS (EU);43;30;-30,2
CANTABRIA;7.-DAÑOS;1088;810;-25,6
CANTABRIA;8.-HURTOS;2823;2808;-0,5
Provincia de Ávila;1.-DELITOS Y FALTAS (EU);2691;2645;-1,7
Provincia de Ávila;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de Ávila;3.-DELINCUENCIA VIOLENTA (EU);43;42;-2,3
Provincia de Ávila;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);26;22;-15,4
Provincia de Ávila;4.-ROBOS CON FUERZA;546;593;8,6
Provincia de Ávila;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);249;293;17,7
Provincia de Ávila;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);27;38;40,7
Provincia de Ávila;6.-TRÁFICO DE DROGAS (EU);17;14;-17,6
Provincia de Ávila;7.-DAÑOS;480;448;-6,7
Provincia de Ávila;8.-HURTOS;545;601;10,3
Provincia de Burgos;1.-DELITOS Y FALTAS (EU);6633;5985;-9,8
Provincia de Burgos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100
Provincia de Burgos;3.-DELINCUENCIA VIOLENTA (EU);161;147;-8,7
Provincia de Burgos;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);90;104;15,6
Provincia de Burgos;4.-ROBOS CON FUERZA;1001;954;-4,7
Provincia de Burgos;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);291;256;-12
Provincia de Burgos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);71;64;-9,9
Provincia de Burgos;6.-TRÁFICO DE DROGAS (EU);29;23;-20,7
Provincia de Burgos;7.-DAÑOS;961;857;-10,8
Provincia de Burgos;8.-HURTOS;2337;2237;-4,3
Provincia de León;1.-DELITOS Y FALTAS (EU);8306;8151;-1,9
Provincia de León;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);3;5;66,7
Provincia de León;3.-DELINCUENCIA VIOLENTA (EU);191;216;13,1
Provincia de León;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);114;162;42,1
Provincia de León;4.-ROBOS CON FUERZA;1415;1473;4,1
Provincia de León;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);408;399;-2,2
Provincia de León;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);127;89;-29,9
Provincia de León;6.-TRÁFICO DE DROGAS (EU);9;14;55,6
Provincia de León;7.-DAÑOS;1268;1022;-19,4
Provincia de León;8.-HURTOS;2741;3000;9,4
Provincia de Palencia;1.-DELITOS Y FALTAS (EU);2253;2147;-4,7
Provincia de Palencia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Provincia de Palencia;3.-DELINCUENCIA VIOLENTA (EU);24;34;41,7
Provincia de Palencia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);14;25;78,6
Provincia de Palencia;4.-ROBOS CON FUERZA;331;327;-1,2
Provincia de Palencia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);89;96;7,9
Provincia de Palencia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);24;17;-29,2
Provincia de Palencia;6.-TRÁFICO DE DROGAS (EU);4;9;125
Provincia de Palencia;7.-DAÑOS;411;319;-22,4
Provincia de Palencia;8.-HURTOS;615;651;5,9
Provincia de Salamanca;1.-DELITOS Y FALTAS (EU);4742;4576;-3,5
Provincia de Salamanca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Provincia de Salamanca;3.-DELINCUENCIA VIOLENTA (EU);158;157;-0,6
Provincia de Salamanca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);76;91;19,7
Provincia de Salamanca;4.-ROBOS CON FUERZA;598;591;-1,2
Provincia de Salamanca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);161;188;16,8
Provincia de Salamanca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);50;36;-28
Provincia de Salamanca;6.-TRÁFICO DE DROGAS (EU);23;30;30,4
Provincia de Salamanca;7.-DAÑOS;554;525;-5,2
Provincia de Salamanca;8.-HURTOS;1872;1816;-3
Provincia de Segovia;1.-DELITOS Y FALTAS (EU);2624;2455;-6,4
Provincia de Segovia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Provincia de Segovia;3.-DELINCUENCIA VIOLENTA (EU);45;43;-4,4
Provincia de Segovia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);26;27;3,8
