TERRITORIO;TIPOLOGÍA PENAL;2012_ene_mar;2013_ene_mar;var_porc_13s12
CANTABRIA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);89;86;-3,4
CANTABRIA;4.-ROBOS CON FUERZA;721;671;-6,9
CANTABRIA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);252;237;-6
CANTABRIA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);89;71;-20,2
CANTABRIA;6.-TRÁFICO DE DROGAS (EU);16;14;-12,5
CANTABRIA;7.-DAÑOS;568;399;-29,8
CANTABRIA;8.-HURTOS;1379;1364;-1,1
Ávila;1.-DELITOS Y FALTAS (EU);1314;1283;-2,4
Ávila;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Ávila;3.-DELINCUENCIA VIOLENTA (EU);25;27;8
Ávila;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);15;14;-6,7
Ávila;4.-ROBOS CON FUERZA;284;284;0
Ávila;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);139;135;-2,9
Ávila;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);14;18;28,6
Ávila;6.-TRÁFICO DE DROGAS (EU);5;7;40
Ávila;7.-DAÑOS;235;215;-8,5
Ávila;8.-HURTOS;246;294;19,5
Burgos;1.-DELITOS Y FALTAS (EU);3204;2842;-11,3
Burgos;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;2;100
Burgos;3.-DELINCUENCIA VIOLENTA (EU);78;77;-1,3
Burgos;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);42;55;31
Burgos;4.-ROBOS CON FUERZA;486;409;-15,8
Burgos;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);133;112;-15,8
Burgos;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);36;21;-41,7
Burgos;6.-TRÁFICO DE DROGAS (EU);11;13;18,2
Burgos;7.-DAÑOS;477;407;-14,7
Burgos;8.-HURTOS;1108;1107;-0,1
León;1.-DELITOS Y FALTAS (EU);4157;3976;-4,4
León;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;0;-100
León;3.-DELINCUENCIA VIOLENTA (EU);99;95;-4
León;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);63;72;14,3
León;4.-ROBOS CON FUERZA;742;788;6,2
León;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);221;222;0,5
León;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);77;38;-50,6
León;6.-TRÁFICO DE DROGAS (EU);6;5;-16,7
León;7.-DAÑOS;633;511;-19,3
León;8.-HURTOS;1351;1448;7,2
Palencia;1.-DELITOS Y FALTAS (EU);1046;1058;1,1
Palencia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Palencia;3.-DELINCUENCIA VIOLENTA (EU);12;16;33,3
Palencia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);9;12;33,3
Palencia;4.-ROBOS CON FUERZA;162;151;-6,8
Palencia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);41;44;7,3
Palencia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);9;9;0
Palencia;6.-TRÁFICO DE DROGAS (EU);2;4;100
Palencia;7.-DAÑOS;201;162;-19,4
Palencia;8.-HURTOS;286;314;9,8
Salamanca;1.-DELITOS Y FALTAS (EU);2331;2325;-0,3
Salamanca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Salamanca;3.-DELINCUENCIA VIOLENTA (EU);76;72;-5,3
Salamanca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);43;47;9,3
Salamanca;4.-ROBOS CON FUERZA;307;325;5,9
Salamanca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);70;106;51,4
Salamanca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);26;21;-19,2
Salamanca;6.-TRÁFICO DE DROGAS (EU);13;12;-7,7
Salamanca;7.-DAÑOS;303;285;-5,9
Salamanca;8.-HURTOS;905;942;4,1
Segovia;1.-DELITOS Y FALTAS (EU);1276;1261;-1,2
Segovia;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Segovia;3.-DELINCUENCIA VIOLENTA (EU);16;22;37,5
Segovia;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);8;12;50
Segovia;4.-ROBOS CON FUERZA;283;252;-11
Segovia;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);127;92;-27,6
Segovia;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);16;9;-43,8
Segovia;6.-TRÁFICO DE DROGAS (EU);7;3;-57,1
Segovia;7.-DAÑOS;177;196;10,7
Segovia;8.-HURTOS;336;358;6,5
Soria;1.-DELITOS Y FALTAS (EU);686;580;-15,5
Soria;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Soria;3.-DELINCUENCIA VIOLENTA (EU);21;16;-23,8
Soria;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);7;7;0
Soria;4.-ROBOS CON FUERZA;116;91;-21,6
Soria;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);19;37;94,7
Soria;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);4;6;50
Soria;6.-TRÁFICO DE DROGAS (EU);3;5;66,7
Soria;7.-DAÑOS;114;81;-28,9
Soria;8.-HURTOS;184;166;-9,8
Valladolid;1.-DELITOS Y FALTAS (EU);5082;5135;1
Valladolid;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);2;1;-50
Valladolid;3.-DELINCUENCIA VIOLENTA (EU);100;99;-1
Valladolid;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);59;65;10,2
Valladolid;4.-ROBOS CON FUERZA;767;758;-1,2
Valladolid;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);181;235;29,8
Valladolid;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);47;43;-8,5
Valladolid;6.-TRÁFICO DE DROGAS (EU);12;16;33,3
Valladolid;7.-DAÑOS;703;651;-7,4
Valladolid;8.-HURTOS;1906;1994;4,6
Zamora;1.-DELITOS Y FALTAS (EU);1112;1182;6,3
Zamora;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Zamora;3.-DELINCUENCIA VIOLENTA (EU);28;26;-7,1
Zamora;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);17;19;11,8
Zamora;4.-ROBOS CON FUERZA;196;206;5,1
Zamora;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);42;50;19
Zamora;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);10;8;-20
Zamora;6.-TRÁFICO DE DROGAS (EU);6;5;-16,7
Zamora;7.-DAÑOS;144;132;-8,3
Zamora;8.-HURTOS;322;367;14
CASTILLA Y LEON;1.-DELITOS Y FALTAS (EU);20208;19642;-2,8
CASTILLA Y LEON;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;6;50
CASTILLA Y LEON;3.-DELINCUENCIA VIOLENTA (EU);455;450;-1,1
CASTILLA Y LEON;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);263;303;15,2
CASTILLA Y LEON;4.-ROBOS CON FUERZA;3343;3264;-2,4
CASTILLA Y LEON;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);973;1033;6,2
CASTILLA Y LEON;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);239;173;-27,6
CASTILLA Y LEON;6.-TRÁFICO DE DROGAS (EU);65;70;7,7
CASTILLA Y LEON;7.-DAÑOS;2987;2640;-11,6
CASTILLA Y LEON;8.-HURTOS;6644;6990;5,2
Albacete;1.-DELITOS Y FALTAS (EU);3392;3436;1,3
Albacete;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;3;200
Albacete;3.-DELINCUENCIA VIOLENTA (EU);105;112;6,7
Albacete;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);65;70;7,7
Albacete;4.-ROBOS CON FUERZA;705;716;1,6
Albacete;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);232;234;0,9
Albacete;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);48;45;-6,3
Albacete;6.-TRÁFICO DE DROGAS (EU);15;14;-6,7
Albacete;7.-DAÑOS;374;398;6,4
Albacete;8.-HURTOS;998;1110;11,2
Ciudad Real;1.-DELITOS Y FALTAS (EU);4064;3812;-6,2
Ciudad Real;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Ciudad Real;3.-DELINCUENCIA VIOLENTA (EU);108;92;-14,8
Ciudad Real;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);68;61;-10,3
Ciudad Real;4.-ROBOS CON FUERZA;881;875;-0,7
Ciudad Real;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);297;279;-6,1
Ciudad Real;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);67;61;-9
Ciudad Real;6.-TRÁFICO DE DROGAS (EU);12;26;116,7
Ciudad Real;7.-DAÑOS;517;446;-13,7
Ciudad Real;8.-HURTOS;968;1001;3,4
Cuenca;1.-DELITOS Y FALTAS (EU);1532;1444;-5,7
Cuenca;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Cuenca;3.-DELINCUENCIA VIOLENTA (EU);33;33;0
Cuenca;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);18;19;5,6
Cuenca;4.-ROBOS CON FUERZA;338;382;13
Cuenca;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);123;111;-9,8
Cuenca;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);14;14;0
Cuenca;6.-TRÁFICO DE DROGAS (EU);5;3;-40
Cuenca;7.-DAÑOS;254;203;-20,1
Cuenca;8.-HURTOS;371;382;3
Guadalajara;1.-DELITOS Y FALTAS (EU);2649;2367;-10,6
Guadalajara;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0
Guadalajara;3.-DELINCUENCIA VIOLENTA (EU);49;57;16,3
Guadalajara;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);33;48;45,5
Guadalajara;4.-ROBOS CON FUERZA;681;632;-7,2
Guadalajara;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);260;271;4,2
Guadalajara;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);99;77;-22,2
Guadalajara;6.-TRÁFICO DE DROGAS (EU);5;5;0
Guadalajara;7.-DAÑOS;481;407;-15,4
Guadalajara;8.-HURTOS;628;543;-13,5
Toledo;1.-DELITOS Y FALTAS (EU);7146;7390;3,4
Toledo;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100
Toledo;3.-DELINCUENCIA VIOLENTA (EU);167;172;3
Toledo;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);117;126;7,7
Toledo;4.-ROBOS CON FUERZA;2225;2519;13,2
Toledo;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);956;1070;11,9
Toledo;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);163;144;-11,7
Toledo;6.-TRÁFICO DE DROGAS (EU);28;35;25
Toledo;7.-DAÑOS;774;753;-2,7
Toledo;8.-HURTOS;1466;1459;-0,5
CASTILLA - LA MANCHA;1.-DELITOS Y FALTAS (EU);18783;18449;-1,8
CASTILLA - LA MANCHA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;5;400
CASTILLA - LA MANCHA;3.-DELINCUENCIA VIOLENTA (EU);462;466;0,9
CASTILLA - LA MANCHA;3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);301;324;7,6
CASTILLA - LA MANCHA;4.-ROBOS CON FUERZA;4830;5124;6,1
CASTILLA - LA MANCHA;4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1868;1965;5,2
CASTILLA - LA MANCHA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);391;341;-12,8
CASTILLA - LA MANCHA;6.-TRÁFICO DE DROGAS (EU);65;83;27,7
CASTILLA - LA MANCHA;7.-DAÑOS;2400;2207;-8
CASTILLA - LA MANCHA;8.-HURTOS;4431;4495;1,4
