TERRITORIO;TIPOLOGÍA PENAL;2012_ene_sept;2013_ene_sept;var_porc_13s12
ASTURIAS (PRINCIPADO DE);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);827;767;-7,3
ASTURIAS (PRINCIPADO DE);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);341;337;-1,2
ASTURIAS (PRINCIPADO DE);6.-TRÁFICO DE DROGAS (EU);163;152;-6,7
ASTURIAS (PRINCIPADO DE);7.-DAÑOS;2455;2913;18,7
ASTURIAS (PRINCIPADO DE);8.-HURTOS;7667;7731;0,8
BALEARS (ILLES);1.-DELITOS Y FALTAS (EU);59400;60068;1,1
BALEARS (ILLES);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;10;150,0
BALEARS (ILLES);3.-DELINCUENCIA VIOLENTA (EU);2004;1778;-11,3
BALEARS (ILLES);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);1282;1120;-12,6
BALEARS (ILLES);4.-ROBOS CON FUERZA;9261;7985;-13,8
BALEARS (ILLES);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);3389;2811;-17,1
BALEARS (ILLES);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1292;1175;-9,1
BALEARS (ILLES);6.-TRÁFICO DE DROGAS (EU);358;472;31,8
BALEARS (ILLES);7.-DAÑOS;4239;3682;-13,1
BALEARS (ILLES);8.-HURTOS;27133;29340;8,1
Palmas (Las);1.-DELITOS Y FALTAS (EU);39263;37892;-3,5
Palmas (Las);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;4;-50,0
Palmas (Las);3.-DELINCUENCIA VIOLENTA (EU);1388;1243;-10,4
Palmas (Las);3.1.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);869;785;-9,7
Palmas (Las);4.-ROBOS CON FUERZA;5131;5094;-0,7
Palmas (Las);4.1.-ROBOS CON FUERZA EN DOMICILIOS (EU);1522;1503;-1,2
Palmas (Las);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);837;722;-13,7
Palmas (Las);6.-TRÁFICO DE DROGAS (EU);266;282;6,0
