Comunidad,Año,Trimestre,Tipo de delito,Denuncias
Ceuta,2013,2,Otros,3094
Melilla,2013,2,Homicidios dolosos y asesinatos consumados,0
Melilla,2013,2,Hurtos,651
Melilla,2013,2,"Robos con fuerza, violencia o intimidación",578
Melilla,2013,2,Sustracciones de vehículos,110
Melilla,2013,2,Tráfico de drogas,118
Melilla,2013,2,Otros,2515
Andalucía,2013,3,Homicidios dolosos y asesinatos consumados,57
Andalucía,2013,3,Hurtos,98920
Andalucía,2013,3,"Robos con fuerza, violencia o intimidación",62552
Andalucía,2013,3,Sustracciones de vehículos,6975
Andalucía,2013,3,Tráfico de drogas,2475
Andalucía,2013,3,Otros,287032
Aragón,2013,3,Homicidios dolosos y asesinatos consumados,5
Aragón,2013,3,Hurtos,10604
Aragón,2013,3,"Robos con fuerza, violencia o intimidación",6693
Aragón,2013,3,Sustracciones de vehículos,368
Aragón,2013,3,Tráfico de drogas,266
Aragón,2013,3,Otros,32340
Principado de Asturias,2013,3,Homicidios dolosos y asesinatos consumados,7
Principado de Asturias,2013,3,Hurtos,7731
Principado de Asturias,2013,3,"Robos con fuerza, violencia o intimidación",3415
Principado de Asturias,2013,3,Sustracciones de vehículos,337
Principado de Asturias,2013,3,Tráfico de drogas,152
Principado de Asturias,2013,3,Otros,22971
Islas Baleares,2013,3,Homicidios dolosos y asesinatos consumados,10
Islas Baleares,2013,3,Hurtos,29340
Islas Baleares,2013,3,"Robos con fuerza, violencia o intimidación",9763
Islas Baleares,2013,3,Sustracciones de vehículos,1175
Islas Baleares,2013,3,Tráfico de drogas,472
Islas Baleares,2013,3,Otros,60068
Canarias,2013,3,Homicidios dolosos y asesinatos consumados,10
Canarias,2013,3,Hurtos,24836
Canarias,2013,3,"Robos con fuerza, violencia o intimidación",12757
Canarias,2013,3,Sustracciones de vehículos,1425
Canarias,2013,3,Tráfico de drogas,483
Canarias,2013,3,Otros,70853
Cantabria,2013,3,Homicidios dolosos y asesinatos consumados,3
Cantabria,2013,3,Hurtos,4594
Cantabria,2013,3,"Robos con fuerza, violencia o intimidación",2302
Cantabria,2013,3,Sustracciones de vehículos,197
Cantabria,2013,3,Tráfico de drogas,64
Cantabria,2013,3,Otros,13027
Castilla y León,2013,3,Homicidios dolosos y asesinatos consumados,19
Castilla y León,2013,3,Hurtos,21541
Castilla y León,2013,3,"Robos con fuerza, violencia o intimidación",10707
Castilla y León,2013,3,Sustracciones de vehículos,611
Castilla y León,2013,3,Tráfico de drogas,292
Castilla y León,2013,3,Otros,60661
Castilla-La Mancha,2013,3,Homicidios dolosos y asesinatos consumados,12
Castilla-La Mancha,2013,3,Hurtos,14441
Castilla-La Mancha,2013,3,"Robos con fuerza, violencia o intimidación",15848
Castilla-La Mancha,2013,3,Sustracciones de vehículos,950
Castilla-La Mancha,2013,3,Tráfico de drogas,368
Castilla-La Mancha,2013,3,Otros,56064
Cataluña,2013,3,Homicidios dolosos y asesinatos consumados,28
Cataluña,2013,3,Hurtos,128843
Cataluña,2013,3,"Robos con fuerza, violencia o intimidación",85223
Cataluña,2013,3,Sustracciones de vehículos,7867
Cataluña,2013,3,Tráfico de drogas,1605
Cataluña,2013,3,Otros,330176
Comunidad Valenciana,2013,3,Homicidios dolosos y asesinatos consumados,24
Comunidad Valenciana,2013,3,Hurtos,65925
Comunidad Valenciana,2013,3,"Robos con fuerza, violencia o intimidación",50250
Comunidad Valenciana,2013,3,Sustracciones de vehículos,3844
Comunidad Valenciana,2013,3,Tráfico de drogas,1461
Comunidad Valenciana,2013,3,Otros,200411
Extremadura,2013,3,Homicidios dolosos y asesinatos consumados,6
Extremadura,2013,3,Hurtos,7119
Extremadura,2013,3,"Robos con fuerza, violencia o intimidación",4405
Extremadura,2013,3,Sustracciones de vehículos,307
Extremadura,2013,3,Tráfico de drogas,254
Extremadura,2013,3,Otros,22253
Galicia,2013,3,Homicidios dolosos y asesinatos consumados,13
Galicia,2013,3,Hurtos,18511
Galicia,2013,3,"Robos con fuerza, violencia o intimidación",12149
Galicia,2013,3,Sustracciones de vehículos,1117
Galicia,2013,3,Tráfico de drogas,312
Galicia,2013,3,Otros,62121
Comunidad de Madrid,2013,3,Homicidios dolosos y asesinatos consumados,28
Comunidad de Madrid,2013,3,Hurtos,112942
Comunidad de Madrid,2013,3,"Robos con fuerza, violencia o intimidación",62820
Comunidad de Madrid,2013,3,Sustracciones de vehículos,9391
Comunidad de Madrid,2013,3,Tráfico de drogas,1338
Comunidad de Madrid,2013,3,Otros,284583
Región de Murcia,2013,3,Homicidios dolosos y asesinatos consumados,5
Región de Murcia,2013,3,Hurtos,13299
Región de Murcia,2013,3,"Robos con fuerza, violencia o intimidación",11493
Región de Murcia,2013,3,Sustracciones de vehículos,1104
Región de Murcia,2013,3,Tráfico de drogas,249
Región de Murcia,2013,3,Otros,41827
Comunidad Foral de Navarra,2013,3,Homicidios dolosos y asesinatos consumados,3
Comunidad Foral de Navarra,2013,3,Hurtos,5224
Comunidad Foral de Navarra,2013,3,"Robos con fuerza, violencia o intimidación",2641
Comunidad Foral de Navarra,2013,3,Sustracciones de vehículos,178
Comunidad Foral de Navarra,2013,3,Tráfico de drogas,96
Comunidad Foral de Navarra,2013,3,Otros,15363
País Vasco,2013,3,Homicidios dolosos y asesinatos consumados,10
País Vasco,2013,3,Hurtos,21646
País Vasco,2013,3,"Robos con fuerza, violencia o intimidación",16198
País Vasco,2013,3,Sustracciones de vehículos,568
País Vasco,2013,3,Tráfico de drogas,273
País Vasco,2013,3,Otros,68600
La Rioja,2013,3,Homicidios dolosos y asesinatos consumados,0
La Rioja,2013,3,Hurtos,2204
La Rioja,2013,3,"Robos con fuerza, violencia o intimidación",1890
La Rioja,2013,3,Sustracciones de vehículos,113
La Rioja,2013,3,Tráfico de drogas,47
La Rioja,2013,3,Otros,7232
Ceuta,2013,3,Homicidios dolosos y asesinatos consumados,2
Ceuta,2013,3,Hurtos,937
Ceuta,2013,3,"Robos con fuerza, violencia o intimidación",658
Ceuta,2013,3,Sustracciones de vehículos,329
Ceuta,2013,3,Tráfico de drogas,718
Ceuta,2013,3,Otros,4495
Melilla,2013,3,Homicidios dolosos y asesinatos consumados,0
Melilla,2013,3,Hurtos,933
Melilla,2013,3,"Robos con fuerza, violencia o intimidación",854
Melilla,2013,3,Sustracciones de vehículos,161
Melilla,2013,3,Tráfico de drogas,163
Melilla,2013,3,Otros,3677
Andalucía,2013,4,Homicidios dolosos y asesinatos consumados,65
Andalucía,2013,4,Hurtos,127933
Andalucía,2013,4,"Robos con fuerza, violencia o intimidación",91571
Andalucía,2013,4,Sustracciones de vehículos,9125
Andalucía,2013,4,Tráfico de drogas,3274
Andalucía,2013,4,Otros,410333
Aragón,2013,4,Homicidios dolosos y asesinatos consumados,7
Aragón,2013,4,Hurtos,14058
Aragón,2013,4,"Robos con fuerza, violencia o intimidación",10011
Aragón,2013,4,Sustracciones de vehículos,504
Aragón,2013,4,Tráfico de drogas,343
Aragón,2013,4,Otros,48728
Principado de Asturias,2013,4,Homicidios dolosos y asesinatos consumados,8
Principado de Asturias,2013,4,Hurtos,10060
Principado de Asturias,2013,4,"Robos con fuerza, violencia o intimidación",5245
Principado de Asturias,2013,4,Sustracciones de vehículos,451
Principado de Asturias,2013,4,Tráfico de drogas,189
Principado de Asturias,2013,4,Otros,33767
Islas Baleares,2013,4,Homicidios dolosos y asesinatos consumados,10
Islas Baleares,2013,4,Hurtos,34526
Islas Baleares,2013,4,"Robos con fuerza, violencia o intimidación",13498
Islas Baleares,2013,4,Sustracciones de vehículos,1582
Islas Baleares,2013,4,Tráfico de drogas,561
Islas Baleares,2013,4,Otros,78654
Canarias,2013,4,Homicidios dolosos y asesinatos consumados,13
Canarias,2013,4,Hurtos,32519
Canarias,2013,4,"Robos con fuerza, violencia o intimidación",18506
Canarias,2013,4,Sustracciones de vehículos,1893
Canarias,2013,4,Tráfico de drogas,615
Canarias,2013,4,Otros,101401
Cantabria,2013,4,Homicidios dolosos y asesinatos consumados,4
Cantabria,2013,4,Hurtos,5940
Cantabria,2013,4,"Robos con fuerza, violencia o intimidación",3459
Cantabria,2013,4,Sustracciones de vehículos,264
Cantabria,2013,4,Tráfico de drogas,92
Cantabria,2013,4,Otros,18911
Castilla y León,2013,4,Homicidios dolosos y asesinatos consumados,19
Castilla y León,2013,4,Hurtos,28107
Castilla y León,2013,4,"Robos con fuerza, violencia o intimidación",15216
Castilla y León,2013,4,Sustracciones de vehículos,790
Castilla y León,2013,4,Tráfico de drogas,380
Castilla y León,2013,4,Otros,90818
Castilla-La Mancha,2013,4,Homicidios dolosos y asesinatos consumados,15
Castilla-La Mancha,2013,4,Hurtos,18960
Castilla-La Mancha,2013,4,"Robos con fuerza, violencia o intimidación",22034
Castilla-La Mancha,2013,4,Sustracciones de vehículos,1261
Castilla-La Mancha,2013,4,Tráfico de drogas,482
Castilla-La Mancha,2013,4,Otros,81897
Cataluña,2013,4,Homicidios dolosos y asesinatos consumados,43
Cataluña,2013,4,Hurtos,166537
Cataluña,2013,4,"Robos con fuerza, violencia o intimidación",139718
Cataluña,2013,4,Sustracciones de vehículos,10426
Cataluña,2013,4,Tráfico de drogas,2064
Cataluña,2013,4,Otros,471011
Comunidad Valenciana,2013,4,Homicidios dolosos y asesinatos consumados,32
Comunidad Valenciana,2013,4,Hurtos,84869
Comunidad Valenciana,2013,4,"Robos con fuerza, violencia o intimidación",74213
Comunidad Valenciana,2013,4,Sustracciones de vehículos,5119
Comunidad Valenciana,2013,4,Tráfico de drogas,1872
Comunidad Valenciana,2013,4,Otros,291730
Extremadura,2013,4,Homicidios dolosos y asesinatos consumados,7
Extremadura,2013,4,Hurtos,9523
Extremadura,2013,4,"Robos con fuerza, violencia o intimidación",6139
Extremadura,2013,4,Sustracciones de vehículos,402
Extremadura,2013,4,Tráfico de drogas,306
Extremadura,2013,4,Otros,32607
Galicia,2013,4,Homicidios dolosos y asesinatos consumados,15
Galicia,2013,4,Hurtos,24200
Galicia,2013,4,"Robos con fuerza, violencia o intimidación",17061
Galicia,2013,4,Sustracciones de vehículos,1435
Galicia,2013,4,Tráfico de drogas,409
Galicia,2013,4,Otros,92008
Comunidad de Madrid,2013,4,Homicidios dolosos y asesinatos consumados,37
Comunidad de Madrid,2013,4,Hurtos,151459
Comunidad de Madrid,2013,4,"Robos con fuerza, violencia o intimidación",105526
Comunidad de Madrid,2013,4,Sustracciones de vehículos,12333
Comunidad de Madrid,2013,4,Tráfico de drogas,1737
Comunidad de Madrid,2013,4,Otros,423263
Región de Murcia,2013,4,Homicidios dolosos y asesinatos consumados,5
Región de Murcia,2013,4,Hurtos,17166
Región de Murcia,2013,4,"Robos con fuerza, violencia o intimidación",16613
Región de Murcia,2013,4,Sustracciones de vehículos,1422
Región de Murcia,2013,4,Tráfico de drogas,317
Región de Murcia,2013,4,Otros,59354
Comunidad Foral de Navarra,2013,4,Homicidios dolosos y asesinatos consumados,4
Comunidad Foral de Navarra,2013,4,Hurtos,8231
Comunidad Foral de Navarra,2013,4,"Robos con fuerza, violencia o intimidación",4417
Comunidad Foral de Navarra,2013,4,Sustracciones de vehículos,268
Comunidad Foral de Navarra,2013,4,Tráfico de drogas,137
Comunidad Foral de Navarra,2013,4,Otros,27129
País Vasco,2013,4,Homicidios dolosos y asesinatos consumados,13
País Vasco,2013,4,Hurtos,28484
País Vasco,2013,4,"Robos con fuerza, violencia o intimidación",24225
País Vasco,2013,4,Sustracciones de vehículos,733
País Vasco,2013,4,Tráfico de drogas,345
País Vasco,2013,4,Otros,98566
La Rioja,2013,4,Homicidios dolosos y asesinatos consumados,0
La Rioja,2013,4,Hurtos,2943
La Rioja,2013,4,"Robos con fuerza, violencia o intimidación",2638
La Rioja,2013,4,Sustracciones de vehículos,134
La Rioja,2013,4,Tráfico de drogas,69
La Rioja,2013,4,Otros,10653
Ceuta,2013,4,Homicidios dolosos y asesinatos consumados,2
Ceuta,2013,4,Hurtos,1260
Ceuta,2013,4,"Robos con fuerza, violencia o intimidación",1102
Ceuta,2013,4,Sustracciones de vehículos,403
Ceuta,2013,4,Tráfico de drogas,894
Ceuta,2013,4,Otros,6266
Melilla,2013,4,Homicidios dolosos y asesinatos consumados,1
Melilla,2013,4,Hurtos,1192
Melilla,2013,4,"Robos con fuerza, violencia o intimidación",1391
Melilla,2013,4,Sustracciones de vehículos,221
Melilla,2013,4,Tráfico de drogas,206
Melilla,2013,4,Otros,5023
Andalucía,2014,1,Homicidios dolosos y asesinatos consumados,20
Andalucía,2014,1,Hurtos,28159
Andalucía,2014,1,"Robos con fuerza, violencia o intimidación",18921
Andalucía,2014,1,Sustracciones de vehículos,2057
Andalucía,2014,1,Tráfico de drogas,810
Andalucía,2014,1,Otros,86975
Aragón,2014,1,Homicidios dolosos y asesinatos consumados,0
Aragón,2014,1,Hurtos,3259
Aragón,2014,1,"Robos con fuerza, violencia o intimidación",2035
Aragón,2014,1,Sustracciones de vehículos,82
Aragón,2014,1,Tráfico de drogas,65
Aragón,2014,1,Otros,10192
Principado de Asturias,2014,1,Homicidios dolosos y asesinatos consumados,1
Principado de Asturias,2014,1,Hurtos,2196
Principado de Asturias,2014,1,"Robos con fuerza, violencia o intimidación",1135
Principado de Asturias,2014,1,Sustracciones de vehículos,91
Principado de Asturias,2014,1,Tráfico de drogas,40
Principado de Asturias,2014,1,Otros,7301
Islas Baleares,2014,1,Homicidios dolosos y asesinatos consumados,4
Islas Baleares,2014,1,Hurtos,3775
Islas Baleares,2014,1,"Robos con fuerza, violencia o intimidación",2314
Islas Baleares,2014,1,Sustracciones de vehículos,317
Islas Baleares,2014,1,Tráfico de drogas,62
Islas Baleares,2014,1,Otros,12009
Canarias,2014,1,Homicidios dolosos y asesinatos consumados,2
Canarias,2014,1,Hurtos,8949
Canarias,2014,1,"Robos con fuerza, violencia o intimidación",4228
Canarias,2014,1,Sustracciones de vehículos,515
Canarias,2014,1,Tráfico de drogas,126
Canarias,2014,1,Otros,23899
Cantabria,2014,1,Homicidios dolosos y asesinatos consumados,0
Cantabria,2014,1,Hurtos,1348
Cantabria,2014,1,"Robos con fuerza, violencia o intimidación",830
Cantabria,2014,1,Sustracciones de vehículos,81
Cantabria,2014,1,Tráfico de drogas,18
Cantabria,2014,1,Otros,4297
Castilla y León,2014,1,Homicidios dolosos y asesinatos consumados,1
Castilla y León,2014,1,Hurtos,6641
Castilla y León,2014,1,"Robos con fuerza, violencia o intimidación",3562
Castilla y León,2014,1,Sustracciones de vehículos,201
Castilla y León,2014,1,Tráfico de drogas,62
Castilla y León,2014,1,Otros,19519
Castilla-La Mancha,2014,1,Homicidios dolosos y asesinatos consumados,4
Castilla-La Mancha,2014,1,Hurtos,4253
Castilla-La Mancha,2014,1,"Robos con fuerza, violencia o intimidación",5107
Castilla-La Mancha,2014,1,Sustracciones de vehículos,292
Castilla-La Mancha,2014,1,Tráfico de drogas,74
Castilla-La Mancha,2014,1,Otros,17677
Cataluña,2014,1,Homicidios dolosos y asesinatos consumados,20
Cataluña,2014,1,Hurtos,36437
Cataluña,2014,1,"Robos con fuerza, violencia o intimidación",25735
Cataluña,2014,1,Sustracciones de vehículos,2394
Cataluña,2014,1,Tráfico de drogas,437
Cataluña,2014,1,Otros,101026
Comunidad Valenciana,2014,1,Homicidios dolosos y asesinatos consumados,12
Comunidad Valenciana,2014,1,Hurtos,18704
Comunidad Valenciana,2014,1,"Robos con fuerza, violencia o intimidación",15040
Comunidad Valenciana,2014,1,Sustracciones de vehículos,1100
Comunidad Valenciana,2014,1,Tráfico de drogas,333
Comunidad Valenciana,2014,1,Otros,60192
Extremadura,2014,1,Homicidios dolosos y asesinatos consumados,1
Extremadura,2014,1,Hurtos,2183
Extremadura,2014,1,"Robos con fuerza, violencia o intimidación",1409
Extremadura,2014,1,Sustracciones de vehículos,102
Extremadura,2014,1,Tráfico de drogas,56
